Date : 2024-11-08 09:39:50
Directory : ./src
Total : 2407 files,  175638 codes, 34304 comments, 12556 blanks, all 222498 lines, 16.34% comment rate

Languages
+----------------+------------+------------+------------+------------+------------+--------------+
| language       | files      | code       | comment    | blank      | total      | comment rate |
| pages/dashboard/workbench/components/Export/index.js                                                     | JavaScript     |         37 |          0 |          4 |         41 |        0.00% |
| pages/dashboard/workbench/components/ManagementFields/index.js                                           | JavaScript     |         74 |          7 |          9 |         90 |        8.64% |
| pages/dashboard/workbench/components/ManagementFields/index.less                                         | Less           |         22 |          0 |          2 |         24 |        0.00% |
| pages/dashboard/workbench/components/StagePanel/index.js                                                 | JavaScript     |         98 |         13 |          9 |        120 |       11.71% |
| pages/dashboard/workbench/components/StagePanel/index.less                                               | Less           |         46 |          0 |          2 |         48 |        0.00% |
| pages/dashboard/workbench/components/TableSummary/index.js                                               | JavaScript     |         49 |          0 |          5 |         54 |        0.00% |
| pages/dashboard/workbench/components/Title/index.js                                                      | JavaScript     |         11 |          6 |          4 |         21 |       35.29% |
| pages/dashboard/workbench/components/Title/index.less                                                    | Less           |         15 |          0 |          1 |         16 |        0.00% |
| pages/dashboard/workbench/components/index.js                                                            | JavaScript     |          7 |          0 |          1 |          8 |        0.00% |
| pages/dashboard/workbench/index.jsx                                                                      | JavaScript JSX |        137 |         23 |         10 |        170 |       14.37% |
| pages/dashboard/workbench/index.less                                                                     | Less           |          9 |          0 |          1 |         10 |        0.00% |
| pages/dashboard/workbench/utils.js                                                                       | JavaScript     |         67 |          3 |          4 |         74 |        4.29% |
| pages/demo/Column.js                                                                                     | JavaScript     |        160 |         14 |          6 |        180 |        8.05% |
| pages/demo/ZDesc.js                                                                                      | JavaScript     |         39 |          0 |          5 |         44 |        0.00% |
| pages/demo/ZForm.js                                                                                      | JavaScript     |         36 |          1 |          5 |         42 |        2.70% |
| pages/demo/ZFormModal.js                                                                                 | JavaScript     |         57 |          0 |          2 |         59 |        0.00% |
| pages/demo/ZTable.js                                                                                     | JavaScript     |         55 |          1 |          4 |         60 |        1.79% |
| pages/demo/batchUpload/UploadData.js                                                                     | JavaScript     |         45 |          3 |          6 |         54 |        6.25% |
| pages/demo/batchUpload/index.js                                                                          | JavaScript     |        222 |          3 |         18 |        243 |        1.33% |
| pages/demo/index.js                                                                                      | JavaScript     |         13 |          6 |          4 |         23 |       31.58% |
| pages/demo/store.ts                                                                                      | TypeScript     |          8 |         15 |          2 |         25 |       65.22% |
| pages/demo/utils.js                                                                                      | JavaScript     |        112 |          0 |         10 |        122 |        0.00% |
| pages/financial/credit/Column.js                                                                         | JavaScript     |        309 |          3 |          4 |        316 |        0.96% |
| pages/financial/credit/CreditModal.js                                                                    | JavaScript     |         63 |          0 |          5 |         68 |        0.00% |
| pages/financial/credit/FormGuarantee/index.js                                                            | JavaScript     |        172 |          0 |         19 |        191 |        0.00% |
| pages/financial/credit/FormGuarantee/index.less                                                          | Less           |         83 |          1 |          7 |         91 |        1.19% |
| pages/financial/credit/detail/AsyncModal/index.js                                                        | JavaScript     |         27 |          0 |          4 |         31 |        0.00% |
| pages/financial/credit/detail/BaseInfo.js                                                                | JavaScript     |         86 |          2 |          5 |         93 |        2.27% |
| pages/financial/credit/detail/UserDetail.js                                                              | JavaScript     |         96 |          0 |          4 |        100 |        0.00% |
| pages/financial/credit/detail/[id$].js                                                                   | JavaScript     |         65 |          2 |          4 |         71 |        2.99% |
| pages/financial/credit/detail/index.less                                                                 | Less           |        145 |          1 |          4 |        150 |        0.68% |
| pages/financial/credit/detail/store.ts                                                                   | TypeScript     |         70 |         11 |          7 |         88 |       13.58% |
| pages/financial/credit/index.js                                                                          | JavaScript     |        166 |          0 |          7 |        173 |        0.00% |
| pages/financial/credit/index.less                                                                        | Less           |          5 |          0 |          1 |          6 |        0.00% |
| pages/financial/credit/store.ts                                                                          | TypeScript     |         42 |          3 |          3 |         48 |        6.67% |
| pages/financial/direct/detail/Asset/index.js                                                             | JavaScript     |        138 |          1 |          3 |        142 |        0.72% |
| pages/financial/direct/detail/BaseInfo/index.js                                                          | JavaScript     |        134 |          1 |          3 |        138 |        0.74% |
| pages/financial/direct/detail/Data/index.js                                                              | JavaScript     |         25 |          0 |          4 |         29 |        0.00% |
| pages/financial/direct/detail/Financing/CalcDay.js                                                       | JavaScript     |         18 |          0 |          3 |         21 |        0.00% |
| pages/financial/direct/detail/Financing/Cost.js                                                          | JavaScript     |        109 |          0 |          3 |        112 |        0.00% |
| pages/financial/direct/detail/Financing/index.js                                                         | JavaScript     |        142 |          1 |          4 |        147 |        0.70% |
| pages/financial/direct/detail/OtherAccount/index.js                                                      | JavaScript     |         56 |          1 |          4 |         61 |        1.75% |
| pages/financial/direct/detail/Pledge/Component/Column.js                                                 | JavaScript     |        109 |          3 |          3 |        115 |        2.68% |
| pages/financial/direct/detail/Pledge/Component/index.js                                                  | JavaScript     |         52 |         17 |          7 |         76 |       24.64% |
| pages/financial/direct/detail/Pledge/CreateModal/index.js                                                | JavaScript     |        301 |          0 |         18 |        319 |        0.00% |
| pages/financial/direct/detail/Pledge/Jump.js                                                             | JavaScript     |         42 |          0 |          4 |         46 |        0.00% |
| pages/financial/direct/detail/Pledge/index.js                                                            | JavaScript     |        210 |          0 |          5 |        215 |        0.00% |
| pages/financial/direct/detail/Pledge/index.less                                                          | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/financial/direct/detail/Pledge/store.js                                                            | JavaScript     |         93 |          0 |          5 |         98 |        0.00% |
| pages/financial/direct/detail/Product/index.js                                                           | JavaScript     |        193 |          0 |          5 |        198 |        0.00% |
| pages/financial/direct/detail/RefundAccount/CreateModal/index.js                                         | JavaScript     |        112 |          0 |         11 |        123 |        0.00% |
| pages/financial/direct/detail/RefundAccount/index.js                                                     | JavaScript     |        102 |          0 |          7 |        109 |        0.00% |
| pages/financial/direct/detail/RefundAccount/index.less                                                   | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/financial/direct/detail/RefundAccount/store.js                                                     | JavaScript     |         77 |          7 |          5 |         89 |        8.33% |
| pages/financial/direct/detail/Repay/index.js                                                             | JavaScript     |         98 |          0 |          5 |        103 |        0.00% |
| pages/financial/direct/detail/Subscribe/index.js                                                         | JavaScript     |        152 |          0 |          4 |        156 |        0.00% |
| pages/financial/direct/detail/[id$].js                                                                   | JavaScript     |         70 |          0 |          4 |         74 |        0.00% |
| pages/financial/direct/detail/api.js                                                                     | JavaScript     |         57 |          9 |          8 |         74 |       13.64% |
| pages/financial/direct/detail/store.js                                                                   | JavaScript     |         10 |          0 |          3 |         13 |        0.00% |
| pages/financial/direct/index.js                                                                          | JavaScript     |        238 |          2 |          9 |        249 |        0.83% |
| pages/financial/fund/Column.js                                                                           | JavaScript     |        304 |          1 |          2 |        307 |        0.33% |
| pages/financial/fund/Component/ActualTable/index.js                                                      | JavaScript     |        160 |          1 |         10 |        171 |        0.62% |
| pages/financial/fund/Component/ActualTable/index.less                                                    | Less           |         55 |          0 |          1 |         56 |        0.00% |
| pages/financial/fund/Component/ActualTable/store.js                                                      | JavaScript     |         64 |          1 |          6 |         71 |        1.54% |
| pages/financial/fund/Component/ChangeModal/index.js                                                      | JavaScript     |         20 |          0 |          5 |         25 |        0.00% |
| pages/financial/fund/Component/CreateModal/index.js                                                      | JavaScript     |        132 |          0 |          9 |        141 |        0.00% |
| pages/financial/fund/Component/FormGuarantee/index.js                                                    | JavaScript     |        185 |          3 |         11 |        199 |        1.60% |
| pages/financial/fund/Component/FormGuarantee/index.less                                                  | Less           |         83 |          1 |          7 |         91 |        1.19% |
| pages/financial/fund/Component/FormGuaranteeScheme/index.js                                              | JavaScript     |        185 |          2 |         14 |        201 |        1.07% |
| pages/financial/fund/Component/FormGuaranteeScheme/index.less                                            | Less           |         83 |          1 |          7 |         91 |        1.19% |
| pages/financial/fund/Component/FormOrg/index.js                                                          | JavaScript     |        155 |          0 |          8 |        163 |        0.00% |
| pages/financial/fund/Component/FormOrg/index.less                                                        | Less           |         83 |          1 |          7 |         91 |        1.19% |
| pages/financial/fund/Component/Select/index.js                                                           | JavaScript     |         73 |          2 |         10 |         85 |        2.67% |
| pages/financial/fund/Component/YearRate/index.js                                                         | JavaScript     |        175 |          0 |          9 |        184 |        0.00% |
| pages/financial/fund/Component/YearRate/index.less                                                       | Less           |          7 |          0 |          1 |          8 |        0.00% |
| pages/financial/fund/api.js                                                                              | JavaScript     |         97 |         14 |         16 |        127 |       12.61% |
| pages/financial/fund/change/BaseInfo.js                                                                  | JavaScript     |         41 |          1 |          6 |         48 |        2.38% |
| pages/financial/fund/change/Column.js                                                                    | JavaScript     |        170 |          0 |          5 |        175 |        0.00% |
| pages/financial/fund/change/DataList.js                                                                  | JavaScript     |         25 |          0 |          4 |         29 |        0.00% |
| pages/financial/fund/change/[id$].js                                                                     | JavaScript     |         90 |          3 |          8 |        101 |        3.23% |
| pages/financial/fund/change/index.less                                                                   | Less           |         24 |          0 |          1 |         25 |        0.00% |
| pages/financial/fund/change/store.js                                                                     | JavaScript     |        137 |          0 |          8 |        145 |        0.00% |
| pages/financial/fund/detail/ActualTable/index.js                                                         | JavaScript     |         46 |          1 |          5 |         52 |        2.13% |
| pages/financial/fund/detail/ActualTable/index.less                                                       | Less           |         14 |          1 |          1 |         16 |        6.67% |
| pages/financial/fund/detail/BaseInfo.js                                                                  | JavaScript     |         75 |          0 |          6 |         81 |        0.00% |
| pages/financial/fund/detail/CostDetail/CreateModal/index.js                                              | JavaScript     |         60 |          0 |          4 |         64 |        0.00% |
| pages/financial/fund/detail/CostDetail/index.js                                                          | JavaScript     |         79 |          1 |          4 |         84 |        1.25% |
| pages/financial/fund/detail/CostDetail/index.less                                                        | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/financial/fund/detail/CostDetail/store.js                                                          | JavaScript     |         83 |          7 |          6 |         96 |        7.78% |
| pages/financial/fund/detail/DataList.js                                                                  | JavaScript     |         83 |          0 |          4 |         87 |        0.00% |
| pages/financial/fund/detail/EstimateTable/index.js                                                       | JavaScript     |        136 |          1 |          8 |        145 |        0.73% |
| pages/financial/fund/detail/EstimateTable/index.less                                                     | Less           |         25 |          0 |          1 |         26 |        0.00% |
| pages/financial/fund/detail/EstimateTable/store.js                                                       | JavaScript     |         60 |          0 |          6 |         66 |        0.00% |
| pages/financial/fund/detail/OtherAccount/Column.js                                                       | JavaScript     |         24 |          0 |          2 |         26 |        0.00% |
| pages/financial/fund/detail/OtherAccount/index.js                                                        | JavaScript     |         50 |          0 |          4 |         54 |        0.00% |
| pages/financial/fund/detail/Pledge/Component/Column.js                                                   | JavaScript     |        108 |          3 |          3 |        114 |        2.70% |
| pages/financial/fund/detail/Pledge/Component/index.js                                                    | JavaScript     |         51 |          0 |          7 |         58 |        0.00% |
| pages/financial/fund/detail/Pledge/CreateModal/index.js                                                  | JavaScript     |        304 |          0 |         18 |        322 |        0.00% |
| pages/financial/fund/detail/Pledge/Jump.js                                                               | JavaScript     |         42 |          0 |          4 |         46 |        0.00% |
| pages/financial/fund/detail/Pledge/index.js                                                              | JavaScript     |        196 |         13 |          6 |        215 |        6.22% |
| pages/financial/fund/detail/Pledge/index.less                                                            | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/financial/fund/detail/Pledge/store.js                                                              | JavaScript     |         96 |          0 |          6 |        102 |        0.00% |
| pages/financial/fund/detail/RefundAccount/CreateModal/index.js                                           | JavaScript     |        115 |          0 |         12 |        127 |        0.00% |
| pages/financial/fund/detail/RefundAccount/index.js                                                       | JavaScript     |        101 |          0 |          7 |        108 |        0.00% |
| pages/financial/fund/detail/RefundAccount/index.less                                                     | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/financial/fund/detail/RefundAccount/store.js                                                       | JavaScript     |         86 |          0 |          5 |         91 |        0.00% |
| pages/financial/fund/detail/Scheme/Column.js                                                             | JavaScript     |        251 |          0 |          8 |        259 |        0.00% |
| pages/financial/fund/detail/Scheme/FormGuarantee/index.js                                                | JavaScript     |        232 |          1 |         12 |        245 |        0.43% |
| pages/financial/fund/detail/Scheme/FormGuarantee/index.less                                              | Less           |         83 |          1 |          7 |         91 |        1.19% |
| pages/financial/fund/detail/Scheme/index.js                                                              | JavaScript     |        159 |          2 |         20 |        181 |        1.24% |
| pages/financial/fund/detail/[id$].js                                                                     | JavaScript     |        148 |          4 |         10 |        162 |        2.63% |
| pages/financial/fund/detail/index.less                                                                   | Less           |        145 |          1 |          2 |        148 |        0.68% |
| pages/financial/fund/detail/log/[id$].js                                                                 | JavaScript     |         18 |          0 |          4 |         22 |        0.00% |
| pages/financial/fund/detail/log/diffInfo/[id$].js                                                        | JavaScript     |         44 |          1 |          4 |         49 |        2.22% |
| pages/financial/fund/detail/log/index.less                                                               | Less           |          0 |          0 |          1 |          1 |        0.00% |
| pages/financial/fund/detail/log/store.js                                                                 | JavaScript     |         10 |          1 |          1 |         12 |        9.09% |
| pages/financial/fund/detail/store.js                                                                     | JavaScript     |        100 |          1 |         10 |        111 |        0.99% |
| pages/financial/fund/effect/[id$].js                                                                     | JavaScript     |         79 |          0 |          9 |         88 |        0.00% |
| pages/financial/fund/effect/index.less                                                                   | Less           |          8 |          0 |          1 |          9 |        0.00% |
| pages/financial/fund/index.js                                                                            | JavaScript     |        156 |          3 |          9 |        168 |        1.89% |
| pages/financial/fund/store.js                                                                            | JavaScript     |        104 |          0 |         10 |        114 |        0.00% |
| pages/financial/guarantee/Column.js                                                                      | JavaScript     |        297 |          0 |          5 |        302 |        0.00% |
| pages/financial/guarantee/EditModal.js                                                                   | JavaScript     |         36 |          0 |          4 |         40 |        0.00% |
| pages/financial/guarantee/InfoColumn.js                                                                  | JavaScript     |         26 |          0 |          4 |         30 |        0.00% |
| pages/financial/guarantee/detail/AsyncModal/index.js                                                     | JavaScript     |         61 |          0 |          4 |         65 |        0.00% |
| pages/financial/guarantee/detail/GuaranteeInfo/EditModal.js                                              | JavaScript     |        170 |          2 |          4 |        176 |        1.16% |
| pages/financial/guarantee/detail/GuaranteeInfo/index.js                                                  | JavaScript     |         73 |          0 |          4 |         77 |        0.00% |
| pages/financial/guarantee/detail/GuaranteeInfo/store.ts                                                  | TypeScript     |         78 |          6 |          2 |         86 |        7.14% |
| pages/financial/guarantee/detail/UserDetail.js                                                           | JavaScript     |         70 |          0 |          3 |         73 |        0.00% |
| pages/financial/guarantee/detail/[id$].js                                                                | JavaScript     |         70 |          3 |          7 |         80 |        4.11% |
| pages/financial/guarantee/detail/index.less                                                              | Less           |        145 |          1 |          4 |        150 |        0.68% |
| pages/financial/guarantee/detail/store.ts                                                                | TypeScript     |         72 |          1 |          5 |         78 |        1.37% |
| pages/financial/guarantee/index.js                                                                       | JavaScript     |         97 |          1 |          5 |        103 |        1.02% |
| pages/financial/guarantee/store.ts                                                                       | TypeScript     |         44 |          3 |          4 |         51 |        6.38% |
| pages/financial/liquidityRisk/BaseModal.js                                                               | JavaScript     |        187 |          0 |         11 |        198 |        0.00% |
| pages/financial/liquidityRisk/Column.js                                                                  | JavaScript     |        207 |         14 |          6 |        227 |        6.33% |
| pages/financial/liquidityRisk/ColumnStat.js                                                              | JavaScript     |        125 |          1 |          2 |        128 |        0.79% |
| pages/financial/liquidityRisk/InflowTable.js                                                             | JavaScript     |        140 |          1 |          9 |        150 |        0.71% |
| pages/financial/liquidityRisk/LiquidityChart.js                                                          | JavaScript     |        190 |         13 |         10 |        213 |        6.40% |
| pages/financial/liquidityRisk/OutFlowTable.js                                                            | JavaScript     |        130 |          0 |          7 |        137 |        0.00% |
| pages/financial/liquidityRisk/ShortTermLoan.js                                                           | JavaScript     |        150 |          0 |          7 |        157 |        0.00% |
| pages/financial/liquidityRisk/StatisticsTable.js                                                         | JavaScript     |        203 |          1 |         14 |        218 |        0.49% |
| pages/financial/liquidityRisk/TimeSelect/index.js                                                        | JavaScript     |         57 |          5 |          5 |         67 |        8.06% |
| pages/financial/liquidityRisk/TimeSelect/index.less                                                      | Less           |          3 |          0 |          1 |          4 |        0.00% |
| pages/financial/liquidityRisk/api.js                                                                     | JavaScript     |          9 |          2 |          2 |         13 |       18.18% |
| pages/financial/liquidityRisk/detail/[$id].js                                                            | JavaScript     |         35 |          3 |          4 |         42 |        7.89% |
| pages/financial/liquidityRisk/detail/store.ts                                                            | TypeScript     |         35 |          3 |          4 |         42 |        7.89% |
| pages/financial/liquidityRisk/index.js                                                                   | JavaScript     |         45 |          0 |          3 |         48 |        0.00% |
| pages/financial/liquidityRisk/index.less                                                                 | Less           |         36 |          0 |          1 |         37 |        0.00% |
| pages/financial/liquidityRisk/store.ts                                                                   | TypeScript     |        122 |         14 |          5 |        141 |       10.29% |
| pages/financial/liquidityRisk/useSummer.js                                                               | JavaScript     |         51 |          0 |          3 |         54 |        0.00% |
| pages/financial/org/Column.js                                                                            | JavaScript     |         46 |          0 |          2 |         48 |        0.00% |
| pages/financial/org/EditModal/CountryCascader.js                                                         | JavaScript     |         79 |          0 |          7 |         86 |        0.00% |
| pages/financial/org/EditModal/FormAccount.js                                                             | JavaScript     |         92 |          1 |          5 |         98 |        1.08% |
| pages/financial/org/EditModal/FormCascader.js                                                            | JavaScript     |         68 |          1 |          7 |         76 |        1.45% |
| pages/financial/org/EditModal/api.js                                                                     | JavaScript     |          4 |          0 |          2 |          6 |        0.00% |
| pages/financial/org/EditModal/index.js                                                                   | JavaScript     |        300 |          0 |          7 |        307 |        0.00% |
| pages/financial/org/EditModal/index.less                                                                 | Less           |         16 |          0 |          2 |         18 |        0.00% |
| pages/financial/org/detail/[id$].js                                                                      | JavaScript     |         30 |          0 |          3 |         33 |        0.00% |
| pages/financial/org/detail/api.js                                                                        | JavaScript     |          6 |          0 |          2 |          8 |        0.00% |
| pages/financial/org/detail/store.js                                                                      | JavaScript     |         35 |          3 |          4 |         42 |        7.89% |
| pages/financial/org/index.js                                                                             | JavaScript     |         77 |          1 |          5 |         83 |        1.28% |
| pages/financial/org/store.ts                                                                             | TypeScript     |         90 |          5 |          4 |         99 |        5.26% |
| pages/financial/payableInterest/ChooseMonthModal/index.js                                                | JavaScript     |         30 |          5 |          8 |         43 |       14.29% |
| pages/financial/payableInterest/Column.js                                                                | JavaScript     |         58 |          1 |          4 |         63 |        1.69% |
| pages/financial/payableInterest/Store.js                                                                 | JavaScript     |         30 |          0 |          2 |         32 |        0.00% |
| pages/financial/payableInterest/api.js                                                                   | JavaScript     |         10 |          0 |          2 |         12 |        0.00% |
| pages/financial/payableInterest/detail/Store.js                                                          | JavaScript     |         26 |          0 |          2 |         28 |        0.00% |
| pages/financial/payableInterest/detail/[id$].js                                                          | JavaScript     |         55 |          0 |          4 |         59 |        0.00% |
| pages/financial/payableInterest/index.js                                                                 | JavaScript     |         61 |          0 |          6 |         67 |        0.00% |
| pages/financial/payment/Column.js                                                                        | JavaScript     |        191 |          9 |          6 |        206 |        4.50% |
| pages/financial/payment/FormGuarantee/index.js                                                           | JavaScript     |        185 |          2 |         11 |        198 |        1.07% |
| pages/financial/payment/FormGuarantee/index.less                                                         | Less           |         83 |          1 |          7 |         91 |        1.19% |
| pages/financial/payment/batchApproval/DataList.js                                                        | JavaScript     |         19 |          0 |          3 |         22 |        0.00% |
| pages/financial/payment/batchApproval/[id$].js                                                           | JavaScript     |         88 |          0 |          5 |         93 |        0.00% |
| pages/financial/payment/batchApproval/store.ts                                                           | TypeScript     |         65 |          0 |          4 |         69 |        0.00% |
| pages/financial/payment/detail/BaseInfo.js                                                               | JavaScript     |         35 |          0 |          6 |         41 |        0.00% |
| pages/financial/payment/detail/CreateModal/index.js                                                      | JavaScript     |        184 |          0 |         14 |        198 |        0.00% |
| pages/financial/payment/detail/DataList.js                                                               | JavaScript     |         35 |          0 |          5 |         40 |        0.00% |
| pages/financial/payment/detail/DirectBaseInfo.js                                                         | JavaScript     |        107 |          1 |          3 |        111 |        0.93% |
| pages/financial/payment/detail/Interest.js                                                               | JavaScript     |         60 |          0 |          2 |         62 |        0.00% |
| pages/financial/payment/detail/LoanIn.js                                                                 | JavaScript     |         40 |          0 |          2 |         42 |        0.00% |
| pages/financial/payment/detail/MarginDetail.js                                                           | JavaScript     |         51 |          0 |          3 |         54 |        0.00% |
| pages/financial/payment/detail/PledgeDetail.js                                                           | JavaScript     |        110 |          1 |          5 |        116 |        0.90% |
| pages/financial/payment/detail/ReceiptAccount.js                                                         | JavaScript     |         49 |          0 |          3 |         52 |        0.00% |
| pages/financial/payment/detail/RefundAccount/CreateModal/index.js                                        | JavaScript     |        105 |          0 |          8 |        113 |        0.00% |
| pages/financial/payment/detail/RefundAccount/index.js                                                    | JavaScript     |         98 |          0 |          7 |        105 |        0.00% |
| pages/financial/payment/detail/RefundAccount/index.less                                                  | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/financial/payment/detail/RefundAccount/store.js                                                    | JavaScript     |         93 |          0 |          7 |        100 |        0.00% |
| pages/financial/payment/detail/RepaymentPlan.js                                                          | JavaScript     |         46 |          0 |          2 |         48 |        0.00% |
| pages/financial/payment/detail/Report.js                                                                 | JavaScript     |         26 |          1 |          3 |         30 |        3.70% |
| pages/financial/payment/detail/[id$].js                                                                  | JavaScript     |        108 |          3 |          6 |        117 |        2.70% |
| pages/financial/payment/detail/index.less                                                                | Less           |         13 |          0 |          1 |         14 |        0.00% |
| pages/financial/payment/detail/log/[id$].js                                                              | JavaScript     |         19 |          1 |          3 |         23 |        5.00% |
| pages/financial/payment/detail/log/diffInfo/[id$].js                                                     | JavaScript     |         52 |          1 |          3 |         56 |        1.89% |
| pages/financial/payment/detail/log/diffInfo/store.js                                                     | JavaScript     |         13 |          1 |          3 |         17 |        7.14% |
| pages/financial/payment/detail/store.ts                                                                  | TypeScript     |         42 |          0 |          2 |         44 |        0.00% |
| pages/financial/payment/index.js                                                                         | JavaScript     |         84 |          0 |          4 |         88 |        0.00% |
| pages/financial/payment/store.ts                                                                         | TypeScript     |         39 |          1 |          2 |         42 |        2.50% |
| pages/index.js                                                                                           | JavaScript     |         11 |         10 |          5 |         26 |       47.62% |
| pages/kpi/Component/ModalEditTable/index.js                                                              | JavaScript     |         61 |          0 |          8 |         69 |        0.00% |
| pages/kpi/Component/ModalEditTable/index.less                                                            | Less           |          6 |          0 |          2 |          8 |        0.00% |
| pages/kpi/Component/Table/index.js                                                                       | JavaScript     |         26 |          0 |          3 |         29 |        0.00% |
| pages/kpi/Component/Table/index.less                                                                     | Less           |        155 |          0 |          2 |        157 |        0.00% |
| pages/kpi/Component/Tip/index.js                                                                         | JavaScript     |         19 |          0 |          2 |         21 |        0.00% |
| pages/kpi/Component/utils.js                                                                             | JavaScript     |         13 |          0 |          2 |         15 |        0.00% |
| pages/kpi/baseSet/CopyItemModal/index.js                                                                 | JavaScript     |         25 |          0 |          4 |         29 |        0.00% |
| pages/kpi/baseSet/ModalDetail/BaBeiJiTi/api.js                                                           | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/BaBeiJiTi/index.js                                                         | JavaScript     |         97 |          0 |          8 |        105 |        0.00% |
| pages/kpi/baseSet/ModalDetail/BuMenLiLun/api.js                                                          | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/BuMenLiLun/index.js                                                        | JavaScript     |         72 |          0 |          7 |         79 |        0.00% |
| pages/kpi/baseSet/ModalDetail/FeiYongJiTi/FormListItem.js                                                | JavaScript     |         92 |          0 |          3 |         95 |        0.00% |
| pages/kpi/baseSet/ModalDetail/FeiYongJiTi/api.js                                                         | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/FeiYongJiTi/index.js                                                       | JavaScript     |         89 |          2 |          7 |         98 |        2.20% |
| pages/kpi/baseSet/ModalDetail/FeiYongJiTi/index.less                                                     | Less           |         25 |          0 |          2 |         27 |        0.00% |
| pages/kpi/baseSet/ModalDetail/GongShiLiLun/api.js                                                        | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/GongShiLiLun/index.js                                                      | JavaScript     |         87 |          0 |          8 |         95 |        0.00% |
| pages/kpi/baseSet/ModalDetail/JinRongShiChangDept/api.js                                                 | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/JinRongShiChangDept/index.js                                               | JavaScript     |         72 |          0 |          6 |         78 |        0.00% |
| pages/kpi/baseSet/ModalDetail/JinRongShiChangTiJiang/api.js                                              | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/JinRongShiChangTiJiang/index.js                                            | JavaScript     |         62 |          0 |          7 |         69 |        0.00% |
| pages/kpi/baseSet/ModalDetail/JinRongShiChangTiJiang/index.less                                          | Less           |         14 |          0 |          1 |         15 |        0.00% |
| pages/kpi/baseSet/ModalDetail/SuiLvWeiHu/api.js                                                          | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/SuiLvWeiHu/index.js                                                        | JavaScript     |        103 |          0 |          7 |        110 |        0.00% |
| pages/kpi/baseSet/ModalDetail/XiangMuTiJiang/api.js                                                      | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/XiangMuTiJiang/index.js                                                    | JavaScript     |        130 |          0 |          9 |        139 |        0.00% |
| pages/kpi/baseSet/ModalDetail/YeWuDept/api.js                                                            | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/YeWuDept/index.js                                                          | JavaScript     |         74 |          0 |          6 |         80 |        0.00% |
| pages/kpi/baseSet/ModalDetail/ZhiDengXiShu/api.js                                                        | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/ZhiDengXiShu/index.js                                                      | JavaScript     |         70 |          0 |          7 |         77 |        0.00% |
| pages/kpi/baseSet/ModalDetail/ZhongHouTaiDept/api.js                                                     | JavaScript     |          5 |          0 |          2 |          7 |        0.00% |
| pages/kpi/baseSet/ModalDetail/ZhongHouTaiDept/index.js                                                   | JavaScript     |         73 |          0 |          6 |         79 |        0.00% |
